plan_name,Type,Coverage,Premium,Deductible,Coinsurance,Maximum out-of-pocket,Age,Gender,Health status,Income,Occupation
Aarogya Plus,Individual,"Hospitalization, outpatient care, preventive care","Rs. 2,000","Rs. 5,000",10%,"Rs. 10,000",25,Male,Healthy,"Rs. 50,000",Software Engineer
Bharti AXA Health Plus,Family,"Hospitalization, outpatient care, preventive care","Rs. 4,000","Rs. 10,000",15%,"Rs. 20,000",35,Female,Pre-existing conditions,"Rs. 75,000",Doctor
Max Bupa Family Health Optima,Family,"Hospitalization, outpatient care, preventive care","Rs. 6,000","Rs. 15,000",20%,"Rs. 30,000",45,Male,Healthy,"Rs. 100,000",Businessman
Star Health Optima Health Plus,Individual,"Hospitalization, outpatient care, preventive care","Rs. 3,000","Rs. 7,500",12%,"Rs. 15,000",20,Female,Healthy,"Rs. 40,000",Teacher
Apollo Munich Health Optima,Individual,"Hospitalization, outpatient care, preventive care","Rs. 2,500","Rs. 5,000",10%,"Rs. 10,000",25,Male,Healthy,"Rs. 50,000",Engineer
Religare Health Optima,Individual,"Hospitalization, outpatient care, preventive care","Rs. 3,000","Rs. 7,500",12%,"Rs. 15,000",30,Male,Healthy,"Rs. 60,000",Lawyer
ICICI Lombard Health Optima,Individual,"Hospitalization, outpatient care, preventive care","Rs. 2,500","Rs. 5,000",10%,"Rs. 10,000",25,Female,Healthy,"Rs. 50,000",Banker
HDFC Ergo Health Optima,Individual,"Hospitalization, outpatient care, preventive care","Rs. 3,000","Rs. 7,500",12%,"Rs. 15,000",30,Female,Healthy,"Rs. 60,000",Teacher
Bajaj Allianz Health Optima,Individual,"Hospitalization, outpatient care, preventive care","Rs. 2,500","Rs. 5,000",10%,"Rs. 10,000",25,Male,Healthy,"Rs. 50,000",Engineer
Nippon Life Health Optima,Individual,"Hospitalization, outpatient care, preventive care","Rs. 3,000","Rs. 7,500",12%,"Rs. 15,000",30,Male,Healthy,"Rs. 60,000",Lawyer
Kotak Mahindra Health Optima,Individual,"Hospitalization, outpatient care, preventive care","Rs. 2,500","Rs. 5,000",10%,"Rs. 10,000",25,Female,Healthy,"Rs. 50,000",Banker
SBI General Health Optima,Individual,"Hospitalization, outpatient care, preventive care","Rs. 3,000","Rs. 7,500",12%,"Rs. 15,000",30,Female,Healthy,"Rs. 60,000",Teacher
New India Assurance Health Optima,Individual,"Hospitalization, outpatient care, preventive care","Rs. 2,500","Rs. 5,000",10%,"Rs. 10,000",25,Male,Healthy,"Rs. 50,000",Engineer
HDFC Ergo Health Plus,Individual,"Hospitalization, outpatient care, preventive care","Rs. 2,500","Rs. 7,000",10%,"Rs. 15,000",35,Female,Healthy,"Rs. 70,000",Architect
Tata AIG Health Insurance,Family,"Hospitalization, outpatient care, preventive care","Rs. 5,000","Rs. 12,000",15%,"Rs. 25,000",40,Male,Pre-existing conditions,"Rs. 90,000",Businessman
Oriental Insurance Health Plus,Individual,"Hospitalization, outpatient care, preventive care","Rs. 2,500","Rs. 5,500",12%,"Rs. 12,500",28,Female,Healthy,"Rs. 55,000",Nurse
United India Health Optima,Individual,"Hospitalization, outpatient care, preventive care","Rs. 2,200","Rs. 4,800",8%,"Rs. 9,000",23,Male,Healthy,"Rs. 45,000",Software Engineer
Future Generali Health Protect,Family,"Hospitalization, outpatient care, preventive care","Rs. 4,500","Rs. 9,500",12%,"Rs. 18,000",33,Female,Healthy,"Rs. 70,000",Teacher
HDFC ERGO Health Premier,Individual,"Hospitalization, outpatient care, preventive care","Rs. 4,500","Rs. 8,000",10%,"Rs. 12,500",35,Female,Healthy,"Rs. 70,000",Doctor
Aditya Birla Activ Assure Diamond,Individual,"Hospitalization, outpatient care, preventive care","Rs. 3,500","Rs. 6,000",10%,"Rs. 10,000",28,Male,Healthy,"Rs. 55,000",IT Professional
National Insurance Mediclaim Plus,Family,"Hospitalization, outpatient care, preventive care","Rs. 5,500","Rs. 12,000",15%,"Rs. 25,000",40,Male,Pre-existing conditions,"Rs. 90,000",Businessman
Reliance HealthGain,Individual,"Hospitalization, outpatient care, preventive care","Rs. 2,800","Rs. 5,500",12%,"Rs. 10,500",32,Female,Healthy,"Rs. 60,000",Teacher
Oriental Insurance Happy Family Floater,Family,"Hospitalization, outpatient care, preventive care","Rs. 4,200","Rs. 9,000",12%,"Rs. 18,000",35,Male,Healthy,"Rs. 80,000",Engineer
HDFC Ergo Health Suraksha Gold,Individual,"Hospitalization, outpatient care, preventive care","Rs. 3,200","Rs. 6,500",10%,"Rs. 11,000",27,Female,Healthy,"Rs. 50,000",Banker
